Queue Utilization, P_Idle, Average Packets in Queue, Arrivals, Departures, Observations, Total Time
0.5, 0.419993, 0.967715, 24919, 24919, 124454, 100.005
0.5, 0.419882, 0.99123, 49818, 49818, 249956, 200.003
