Queue Utilization, Buffer Length, P_Loss, P_Idle, Average Packets in Queue, Arrivals, Departures, Observations, Total Time
4, 25, 0.749502, 1.11729e-06, 24.6763, 2002516, 501626, 10085760, 1000.05
4.2, 25, 0.761986, 2.67122e-07, 24.6976, 2101448, 500173, 10601354, 1000.05
4.4, 25, 0.772531, 0, 24.7135, 2201193, 500704, 11115604, 1000.06
4.6, 25, 0.782674, 1.49787e-06, 24.7316, 2300164, 499886, 11636124, 1000.06
4.8, 25, 0.791649, 0, 24.7465, 2400693, 500187, 12154818, 1000.04
5, 25, 0.799856, 5.34494e-08, 24.7603, 2500726, 500505, 12669863, 1000.05
5.4, 25, 0.814921, 8.78432e-07, 24.7829, 2701760, 500040, 13718480, 1000.04
5.8, 25, 0.828116, 0, 24.8017, 2903525, 499070, 14768910, 1000.06
6.2, 25, 0.839682, 0, 24.8186, 3103244, 497506, 15819960, 1000.05
6.6, 25, 0.848489, 3.78994e-07, 24.8309, 3301500, 500213, 16892941, 1000.06
7, 25, 0.85725, 2.10579e-08, 24.8431, 3503441, 500116, 17970481, 1000.05
7.4, 25, 0.864894, 8.38408e-07, 24.8534, 3707159, 500858, 19064948, 1000.05
7.8, 25, 0.872231, 1.55187e-07, 24.8636, 3906901, 499181, 20163749, 1000.05
8.2, 25, 0.878369, 4.31238e-07, 24.8711, 4105125, 499311, 21259946, 1000.05
8.6, 25, 0.883894, 0, 24.8781, 4307469, 500124, 22371603, 1000.05
9, 25, 0.889159, 4.75393e-08, 24.8851, 4509610, 499850, 23513302, 1000.05
9.4, 25, 0.893716, 2.68823e-07, 24.8904, 4709118, 500502, 24652259, 1000.05
9.8, 25, 0.898393, 6.04391e-07, 24.8962, 4910281, 498920, 25816822, 1000.04
0.5, 50, 0, 0.413617, 1.00373, 250212, 250212, 1250554, 1000.01
0.6, 50, 0, 0.333144, 1.48855, 299776, 299776, 1499245, 1000
0.7, 50, 0, 0.250893, 2.32794, 349539, 349539, 1749400, 1000.01
0.8, 50, 2.74661e-05, 0.165234, 4.03538, 400494, 400483, 2000971, 1000.01
0.9, 50, 0.00077476, 0.0801512, 9.06619, 451753, 451403, 2251091, 1000.01
1, 50, 0.0189181, 0.0159719, 25.5654, 500632, 491161, 2503411, 1000.1
1.1, 50, 0.0881526, 0.000636879, 40.1097, 549547, 501103, 2754193, 1000.11
1.2, 50, 0.166527, 1.0191e-05, 44.9695, 599362, 499552, 3004676, 1000.07
1.3, 50, 0.22827, 3.73939e-06, 46.6539, 648783, 500685, 3251965, 1000.1
1.4, 50, 0.283299, 1.86244e-06, 47.4601, 699526, 501351, 3502593, 1000.09
1.5, 50, 0.331245, 9.05187e-06, 47.9823, 749799, 501432, 3756856, 1000.12
1.6, 50, 0.374627, 5.32311e-06, 48.3348, 800170, 500405, 4003116, 1000.09
1.7, 50, 0.411728, 1.16128e-05, 48.5769, 849051, 499473, 4256105, 1000.09
1.8, 50, 0.444942, 0, 48.7546, 899430, 499236, 4509822, 1000.08
1.9, 50, 0.473716, 6.43956e-06, 48.8986, 951154, 500577, 4755142, 1000.09
2, 50, 0.499146, 3.63041e-06, 49.003, 999332, 500519, 5013769, 1000.11
2.2, 50, 0.545228, 4.37061e-07, 49.1731, 1099804, 500160, 5516549, 1000.11
2.4, 50, 0.583413, 1.12893e-06, 49.2969, 1202026, 500749, 6021130, 1000.1
2.6, 50, 0.616245, 0, 49.3899, 1300116, 498926, 6523507, 1000.1
2.8, 50, 0.642444, 3.71425e-07, 49.4536, 1401608, 501153, 7032634, 1000.1
3, 50, 0.667087, 1.22964e-06, 49.5093, 1502150, 500085, 7537222, 1000.08
3.2, 50, 0.687181, 4.9006e-07, 49.5536, 1598701, 500104, 8042047, 1000.1
3.4, 50, 0.70666, 0, 49.595, 1701482, 499113, 8551948, 1000.09
3.6, 50, 0.721675, 1.56498e-07, 49.6221, 1800544, 501136, 9069571, 1000.09
3.8, 50, 0.737062, 7.7189e-08, 49.6525, 1900690, 499764, 9579626, 1000.11
4, 50, 0.750749, 2.64094e-07, 49.677, 2002095, 499024, 10089819, 1000.1
4.2, 50, 0.761964, 1.86558e-06, 49.6978, 2100074, 499893, 10601183, 1000.12
4.4, 50, 0.773135, 2.19357e-07, 49.7148, 2202288, 499623, 11116005, 1000.09
4.6, 50, 0.783659, 0, 49.733, 2304076, 498465, 11637909, 1000.1
4.8, 50, 0.791704, 7.90717e-07, 49.7461, 2400406, 499995, 12149904, 1000.1
5, 50, 0.800299, 2.47348e-07, 49.7599, 2501900, 499633, 12671545, 1000.1
